,date,state,death,deathConfirmed,deathIncrease,hospitalized,hospitalizedCurrently,positive,positiveIncrease,recovered,totalTestResults,totalTestResultsIncrease
16936,5/9/20,MI,5036.0,4853.0,49,,1531.0,52732.0,383,22686.0,319680.0,11879
16992,5/8/20,MI,4987.0,4809.0,62,,1637.0,52349.0,618,15659.0,307801.0,12785
17048,5/7/20,MI,4925.0,4772.0,86,,1697.0,51731.0,600,15659.0,295016.0,12565
17104,5/6/20,MI,4839.0,4714.0,58,,1818.0,51131.0,634,15659.0,282451.0,12496
17160,5/5/20,MI,4781.0,4630.0,59,,1948.0,50497.0,688,15659.0,269955.0,11419
17216,5/4/20,MI,4722.0,4573.0,81,,1948.0,49809.0,780,15659.0,258536.0,7947
17272,5/3/20,MI,4641.0,4516.0,62,,2100.0,49029.0,357,15659.0,250589.0,7223
17328,5/2/20,MI,4579.0,4436.0,59,,2100.0,48672.0,432,15659.0,243366.0,10838
17384,5/1/20,MI,4520.0,4376.0,86,,2319.0,48240.0,735,8342.0,232528.0,10950
17440,4/30/20,MI,4434.0,4317.0,99,,2319.0,47505.0,1017,8342.0,221578.0,11723
17496,4/29/20,MI,4335.0,4232.0,88,,2498.0,46488.0,950,8342.0,209855.0,10649
17552,4/28/20,MI,4247.0,4136.0,99,,2623.0,45538.0,829,8342.0,199206.0,9050
17608,4/27/20,MI,4148.0,4049.0,112,,2667.0,44709.0,920,8342.0,190156.0,7399
17664,4/26/20,MI,4036.0,3957.0,107,,2757.0,43789.0,526,8342.0,182757.0,6094
17720,4/25/20,MI,3929.0,3846.0,111,,2889.0,43263.0,533,8342.0,176663.0,6721
17776,4/24/20,MI,3818.0,3745.0,107,,3022.0,42730.0,1036,3237.0,169942.0,9089
17832,4/23/20,MI,3711.0,3636.0,109,,3611.0,41694.0,989,3237.0,160853.0,9699
17888,4/22/20,MI,3602.0,3531.0,131,,3305.0,40705.0,1116,3237.0,151154.0,8341
17944,4/21/20,MI,3471.0,3428.0,124,,3357.0,39589.0,1095,3237.0,142813.0,7609
18000,4/20/20,MI,3347.0,3300.0,111,,3374.0,38494.0,937,3237.0,135204.0,4527
18056,4/19/20,MI,3236.0,3178.0,129,,3403.0,37557.0,528,3237.0,130677.0,3286
18112,4/18/20,MI,3107.0,3076.0,123,,3634.0,37029.0,709,3237.0,127391.0,4884
18168,4/17/20,MI,2984.0,2955.0,143,,3674.0,36320.0,865,629.0,122507.0,6067
18224,4/16/20,MI,2841.0,2836.0,169,,3809.0,35455.0,922,617.0,116440.0,5674
18280,4/15/20,MI,2672.0,2701.0,140,,3918.0,34533.0,920,452.0,110766.0,4583
18336,4/14/20,MI,2532.0,2537.0,141,,3910.0,33613.0,911,452.0,106183.0,5000
18392,4/13/20,MI,2391.0,2401.0,142,,3986.0,32702.0,1036,447.0,101183.0,3590
18448,4/12/20,MI,2249.0,2269.0,168,,3636.0,31666.0,686,433.0,97593.0,3286
18504,4/11/20,MI,2081.0,2136.0,164,,3636.0,30980.0,808,595.0,94307.0,3755
18560,4/10/20,MI,1917.0,1978.0,161,,3823.0,30172.0,1076,56.0,90552.0,4580
18616,4/9/20,MI,1756.0,1822.0,156,,3826.0,29096.0,1032,56.0,85972.0,4786
18672,4/8/20,MI,1600.0,1668.0,151,,,28064.0,1100,56.0,81186.0,4053
18728,4/7/20,MI,1449.0,1522.0,158,,,26964.0,1179,56.0,77133.0,4852
18784,4/6/20,MI,1291.0,1377.0,141,,,25785.0,1327,56.0,72281.0,5226
18840,4/5/20,MI,1150.0,1225.0,120,,,24458.0,877,56.0,67055.0,4850
18896,4/4/20,MI,1030.0,1092.0,112,,,23581.0,1002,56.0,62205.0,7109
18952,4/3/20,MI,918.0,985.0,117,,,22579.0,1203,56.0,55096.0,6001
19008,4/2/20,MI,801.0,879.0,125,,,21376.0,1130,,49095.0,5907
19064,4/1/20,MI,676.0,765.0,125,,,20246.0,1592,,43188.0,6133
19120,3/31/20,MI,551.0,641.0,114,,,18654.0,1291,,37055.0,4883
19176,3/30/20,MI,437.0,518.0,86,,,17363.0,1579,,32172.0,7860
19232,3/29/20,MI,351.0,408.0,68,,,15784.0,919,,24312.0,2392
19288,3/28/20,MI,283.0,326.0,71,,,14865.0,1066,,21920.0,2787
19344,3/27/20,MI,212.0,264.0,53,,,13799.0,1324,,19133.0,3536
19400,3/26/20,MI,159.0,197.0,48,,,12475.0,1140,,15597.0,3815
19456,3/25/20,MI,111.0,149.0,25,,,11335.0,1180,,11782.0,2426
19512,3/24/20,MI,86.0,103.0,29,,,10155.0,1093,,9356.0,1680
19568,3/23/20,MI,57.0,79.0,21,,,9062.0,1240,,7676.0,1453
19624,3/22/20,MI,36.0,54.0,13,,,7822.0,799,,6223.0,1020
19680,3/21/20,MI,23.0,33.0,10,,,7023.0,804,,5203.0,1358
19736,3/20/20,MI,13.0,20.0,3,,,6219.0,943,,3845.0,1255
19792,3/19/20,MI,10.0,11.0,5,,,5276.0,745,,2590.0,738
19848,3/18/20,MI,5.0,9.0,3,,,4531.0,872,,1852.0,752
19904,3/17/20,MI,2.0,4.0,0,,,3659.0,764,,1100.0,835
19960,3/16/20,MI,2.0,1.0,1,,,2895.0,707,,265.0,156
20014,3/15/20,MI,1.0,0.0,0,,,2188.0,460,,109.0,33
20065,3/14/20,MI,1.0,0.0,0,,,1728.0,367,,76.0,27
20116,3/13/20,MI,1.0,0.0,0,,,1361.0,364,,49.0,21
20167,3/12/20,MI,1.0,0.0,1,,,997.0,270,,28.0,24
20218,3/11/20,MI,0.0,0.0,0,,,727.0,199,,4.0,1
20269,3/10/20,MI,0.0,0.0,0,,,528.0,156,,3.0,3
20320,3/9/20,MI,,0.0,0,,,372.0,121,,,0
20371,3/8/20,MI,,0.0,0,,,251.0,63,,,0
20422,3/7/20,MI,,0.0,0,,,188.0,48,,,0
20469,3/6/20,MI,,0.0,0,,,140.0,40,,,0
20503,3/5/20,MI,,0.0,0,,,100.0,26,,,0
20533,3/4/20,MI,,0.0,0,,,74.0,24,,,0
20553,3/3/20,MI,,,0,,,50.0,23,,,0
20569,3/2/20,MI,,,0,,,27.0,13,,,0
20581,3/1/20,MI,,0.0,0,,,14.0,0,,,0
